,target_col,fold,task_name,num_epochs,patience,batch_size,inner_atom_dim,conv_depth,sup_dropout_rate,use_ssl,unsup_dropout_rate,w,edge_dropout_rate,num_extra_data,rampup_length,lr_init,lr_base,lr_exp_multiplier,file_name,output_file,auc_file,auc_file_per_epoch,param_optim_file,train_auc,val_auc,test_auc
0,0,5,lr-a5-5,100,30,64,128,2,0.2,0,0.1,0.1,0.1,0,0,0.0007,1.1,-100.0,lr-a5,results/lr-a5.output,results/auc_file_lr-a5.csv,results/test_auc_per_epoch_lr-a5.csv,results/param_optim_lr-a5.csv,0.4674,0.5183,0.4609
1,0,5,lr-a5-5,100,30,64,128,2,0.2,0,0.1,0.1,0.1,0,0,0.0007,1.1,-10.0,lr-a5,results/lr-a5.output,results/auc_file_lr-a5.csv,results/test_auc_per_epoch_lr-a5.csv,results/param_optim_lr-a5.csv,0.5857,0.5416,0.5964
2,0,5,lr-a5-5,100,30,64,128,2,0.2,0,0.1,0.1,0.1,0,0,0.0007,1.1,-1.0,lr-a5,results/lr-a5.output,results/auc_file_lr-a5.csv,results/test_auc_per_epoch_lr-a5.csv,results/param_optim_lr-a5.csv,0.6689,0.6501,0.6964
3,0,5,lr-a5-5,100,30,64,128,2,0.2,0,0.1,0.1,0.1,0,0,0.0007,1.1,-0.1,lr-a5,results/lr-a5.output,results/auc_file_lr-a5.csv,results/test_auc_per_epoch_lr-a5.csv,results/param_optim_lr-a5.csv,0.6792,0.6573,0.6943
4,0,5,lr-a5-5,100,30,64,128,2,0.2,0,0.1,0.1,0.1,0,0,0.0007,1.1,-0.01,lr-a5,results/lr-a5.output,results/auc_file_lr-a5.csv,results/test_auc_per_epoch_lr-a5.csv,results/param_optim_lr-a5.csv,0.6931,0.6619,0.7036
5,0,5,lr-a5-5,100,30,64,128,2,0.2,0,0.1,0.1,0.1,0,0,0.0007,10.1,-100.0,lr-a5,results/lr-a5.output,results/auc_file_lr-a5.csv,results/test_auc_per_epoch_lr-a5.csv,results/param_optim_lr-a5.csv,0.5848,0.4995,0.5521
6,0,5,lr-a5-5,100,30,64,128,2,0.2,0,0.1,0.1,0.1,0,0,0.0007,10.1,-10.0,lr-a5,results/lr-a5.output,results/auc_file_lr-a5.csv,results/test_auc_per_epoch_lr-a5.csv,results/param_optim_lr-a5.csv,0.5693,0.5326,0.585
7,0,5,lr-a5-5,100,30,64,128,2,0.2,0,0.1,0.1,0.1,0,0,0.0007,10.1,-1.0,lr-a5,results/lr-a5.output,results/auc_file_lr-a5.csv,results/test_auc_per_epoch_lr-a5.csv,results/param_optim_lr-a5.csv,0.5388,0.633,0.513
8,0,5,lr-a5-5,100,30,64,128,2,0.2,0,0.1,0.1,0.1,0,0,0.0007,10.1,-0.1,lr-a5,results/lr-a5.output,results/auc_file_lr-a5.csv,results/test_auc_per_epoch_lr-a5.csv,results/param_optim_lr-a5.csv,0.6015,0.5992,0.6345
9,0,5,lr-a5-5,100,30,64,128,2,0.2,0,0.1,0.1,0.1,0,0,0.0007,10.1,-0.01,lr-a5,results/lr-a5.output,results/auc_file_lr-a5.csv,results/test_auc_per_epoch_lr-a5.csv,results/param_optim_lr-a5.csv,0.6871,0.6706,0.7012
