,a,b,c,d,e,mean
train,0.6686,0.6691,0.6539,0.6638,0.6513,0.6613
val,0.6114,0.6338,0.6302,0.6208,0.615,0.6222
test,0.6095,0.686,0.6318,0.572,0.6577,0.6314
