,a,b,c,d,e,mean
train,0.6434,0.6588,0.6684,0.6539,0.6422,0.6533
val,0.6448,0.6753,0.6587,0.6034,0.6125,0.6389
test,0.5859,0.5924,0.6766,0.6459,0.5468,0.6095
