,a,b,c,d,e,mean
train,0.6454,0.6774,0.6835,0.6595,0.6624,0.6656
val,0.6932,0.599,0.6082,0.698,0.6137,0.6424
test,0.5965,0.627,0.5192,0.6447,0.6322,0.6039
