,a,b,c,d,e,mean
train,0.6452,0.6495,0.6681,0.6385,0.6396,0.6482
val,0.5978,0.6817,0.5868,0.625,0.7109,0.6404
test,0.6345,0.588,0.6118,0.5546,0.5977,0.5973
