,a,b,c,d,e,mean
train,0.5158,0.5602,0.6066,0.5452,0.5467,0.5549
val,0.538,0.5465,0.647,0.5246,0.5771,0.5666
test,0.4688,0.5554,0.4897,0.4943,0.575,0.5166
