,a,b,c,d,e,mean
train,0.5383,0.5937,0.5954,0.4945,0.546,0.5536
val,0.5568,0.6043,0.6687,0.4493,0.5336,0.5625
test,0.5884,0.5266,0.6266,0.417,0.5832,0.5484
