,0
0,val
1,1000
2,0.42959576723765475
3,0.6701076866309784
4,90
5,0.6658943309196301
6,0.6582763173084076
0,test
1,1000
2,0.427354168304191
3,0.6780644445689032
4,90
5,0.5141634980698793
6,0.683136049133718
