,target_col,fold,num_epochs,patience,batch_size,inner_atom_dim,conv_depth,sup_dropout_rate,use_ssl,unsup_dropout_rate,w,edge_dropout_rate,num_extra_data,rampup_length,lr_init,lr_base,lr_exp_multiplier,file_name,output_file,auc_file,auc_file_per_epoch,param_optim_file,train_auc,val_auc,test_auc
0,0,2,50,50,64,128,2,0.2,0,0.1,0.1,0.1,0,0,0.0007,2.718,-0.1,supervised2,results/supervised2.output,results/auc_file_supervised2.csv,results/test_auc_per_epoch_supervised2.csv,results/param_optim_supervised2.csv,0.6427,0.6044,0.6706
1,0,2,50,50,64,128,2,0.2,0,0.1,1000.0,0.1,0,0,0.0007,2.718,-0.1,supervised2,results/supervised2.output,results/auc_file_supervised2.csv,results/test_auc_per_epoch_supervised2.csv,results/param_optim_supervised2.csv,0.6599,0.622,0.6712
2,0,2,50,50,64,128,3,0.2,0,0.1,0.1,0.1,0,0,0.0007,2.718,-0.1,supervised2,results/supervised2.output,results/auc_file_supervised2.csv,results/test_auc_per_epoch_supervised2.csv,results/param_optim_supervised2.csv,0.6413,0.6114,0.6901
3,0,2,50,50,64,128,3,0.2,0,0.1,1000.0,0.1,0,0,0.0007,2.718,-0.1,supervised2,results/supervised2.output,results/auc_file_supervised2.csv,results/test_auc_per_epoch_supervised2.csv,results/param_optim_supervised2.csv,0.6777,0.5983,0.6682
4,0,2,50,50,64,128,5,0.2,0,0.1,0.1,0.1,0,0,0.0007,2.718,-0.1,supervised2,results/supervised2.output,results/auc_file_supervised2.csv,results/test_auc_per_epoch_supervised2.csv,results/param_optim_supervised2.csv,0.6894,0.6274,0.6933
5,0,2,50,50,64,128,5,0.2,0,0.1,1000.0,0.1,0,0,0.0007,2.718,-0.1,supervised2,results/supervised2.output,results/auc_file_supervised2.csv,results/test_auc_per_epoch_supervised2.csv,results/param_optim_supervised2.csv,0.6829,0.6039,0.6789
6,0,2,50,50,64,256,2,0.2,0,0.1,0.1,0.1,0,0,0.0007,2.718,-0.1,supervised2,results/supervised2.output,results/auc_file_supervised2.csv,results/test_auc_per_epoch_supervised2.csv,results/param_optim_supervised2.csv,0.6426,0.6091,0.6734
7,0,2,50,50,64,256,2,0.2,0,0.1,1000.0,0.1,0,0,0.0007,2.718,-0.1,supervised2,results/supervised2.output,results/auc_file_supervised2.csv,results/test_auc_per_epoch_supervised2.csv,results/param_optim_supervised2.csv,0.6445,0.6155,0.6779
8,0,2,50,50,64,256,3,0.2,0,0.1,0.1,0.1,0,0,0.0007,2.718,-0.1,supervised2,results/supervised2.output,results/auc_file_supervised2.csv,results/test_auc_per_epoch_supervised2.csv,results/param_optim_supervised2.csv,0.6825,0.6162,0.6805
9,0,2,50,50,64,256,3,0.2,0,0.1,1000.0,0.1,0,0,0.0007,2.718,-0.1,supervised2,results/supervised2.output,results/auc_file_supervised2.csv,results/test_auc_per_epoch_supervised2.csv,results/param_optim_supervised2.csv,0.647,0.6288,0.6722
10,0,2,50,50,64,256,5,0.2,0,0.1,0.1,0.1,0,0,0.0007,2.718,-0.1,supervised2,results/supervised2.output,results/auc_file_supervised2.csv,results/test_auc_per_epoch_supervised2.csv,results/param_optim_supervised2.csv,0.6198,0.6296,0.6789
11,0,2,50,50,64,256,5,0.2,0,0.1,1000.0,0.1,0,0,0.0007,2.718,-0.1,supervised2,results/supervised2.output,results/auc_file_supervised2.csv,results/test_auc_per_epoch_supervised2.csv,results/param_optim_supervised2.csv,0.6685,0.6301,0.6888
12,0,2,50,50,64,512,2,0.2,0,0.1,0.1,0.1,0,0,0.0007,2.718,-0.1,supervised2,results/supervised2.output,results/auc_file_supervised2.csv,results/test_auc_per_epoch_supervised2.csv,results/param_optim_supervised2.csv,0.6461,0.6152,0.6696
13,0,2,50,50,64,512,2,0.2,0,0.1,1000.0,0.1,0,0,0.0007,2.718,-0.1,supervised2,results/supervised2.output,results/auc_file_supervised2.csv,results/test_auc_per_epoch_supervised2.csv,results/param_optim_supervised2.csv,0.6804,0.6194,0.6785
14,0,2,50,50,64,512,3,0.2,0,0.1,0.1,0.1,0,0,0.0007,2.718,-0.1,supervised2,results/supervised2.output,results/auc_file_supervised2.csv,results/test_auc_per_epoch_supervised2.csv,results/param_optim_supervised2.csv,0.6224,0.6241,0.6862
15,0,2,50,50,64,512,3,0.2,0,0.1,1000.0,0.1,0,0,0.0007,2.718,-0.1,supervised2,results/supervised2.output,results/auc_file_supervised2.csv,results/test_auc_per_epoch_supervised2.csv,results/param_optim_supervised2.csv,0.658,0.6029,0.6712
16,0,2,50,50,64,512,5,0.2,0,0.1,0.1,0.1,0,0,0.0007,2.718,-0.1,supervised2,results/supervised2.output,results/auc_file_supervised2.csv,results/test_auc_per_epoch_supervised2.csv,results/param_optim_supervised2.csv,0.6592,0.6285,0.7089
17,0,2,50,50,64,512,5,0.2,0,0.1,1000.0,0.1,0,0,0.0007,2.718,-0.1,supervised2,results/supervised2.output,results/auc_file_supervised2.csv,results/test_auc_per_epoch_supervised2.csv,results/param_optim_supervised2.csv,0.6358,0.6388,0.7041
