,target_col,fold,num_epochs,patience,batch_size,inner_atom_dim,conv_depth,sup_dropout_rate,use_ssl,unsup_dropout_rate,w,edge_dropout_rate,num_extra_data,rampup_length,lr_init,lr_base,lr_exp_multiplier,file_name,output_file,auc_file,auc_file_per_epoch,param_optim_file,train_auc,val_auc,test_auc
0,0,2,50,25,64,128,2,0.2,0,0.1,0.1,0.1,0,0,0.0007,1.1,-1.0,lr2,results/lr2.output,results/auc_file_lr2.csv,results/test_auc_per_epoch_lr2.csv,results/param_optim_lr2.csv,0.6141,0.6007,0.6619
1,0,2,50,25,64,128,2,0.2,0,0.1,0.1,0.1,0,0,0.0007,1.1,-0.1,lr2,results/lr2.output,results/auc_file_lr2.csv,results/test_auc_per_epoch_lr2.csv,results/param_optim_lr2.csv,0.6276,0.62,0.6813
2,0,2,50,25,64,128,2,0.2,0,0.1,0.1,0.1,0,0,0.0007,1.1,-0.01,lr2,results/lr2.output,results/auc_file_lr2.csv,results/test_auc_per_epoch_lr2.csv,results/param_optim_lr2.csv,0.6942,0.6249,0.6791
3,0,2,50,25,64,128,2,0.2,0,0.1,0.1,0.1,0,0,0.0007,2.1,-1.0,lr2,results/lr2.output,results/auc_file_lr2.csv,results/test_auc_per_epoch_lr2.csv,results/param_optim_lr2.csv,0.633,0.5873,0.6124
4,0,2,50,25,64,128,2,0.2,0,0.1,0.1,0.1,0,0,0.0007,2.1,-0.1,lr2,results/lr2.output,results/auc_file_lr2.csv,results/test_auc_per_epoch_lr2.csv,results/param_optim_lr2.csv,0.6709,0.5953,0.6753
5,0,2,50,25,64,128,2,0.2,0,0.1,0.1,0.1,0,0,0.0007,2.1,-0.01,lr2,results/lr2.output,results/auc_file_lr2.csv,results/test_auc_per_epoch_lr2.csv,results/param_optim_lr2.csv,0.6999,0.6421,0.6909
6,0,2,50,25,64,128,2,0.2,0,0.1,0.1,0.1,0,0,0.0007,3.1,-1.0,lr2,results/lr2.output,results/auc_file_lr2.csv,results/test_auc_per_epoch_lr2.csv,results/param_optim_lr2.csv,0.5963,0.575,0.5886
7,0,2,50,25,64,128,2,0.2,0,0.1,0.1,0.1,0,0,0.0007,3.1,-0.1,lr2,results/lr2.output,results/auc_file_lr2.csv,results/test_auc_per_epoch_lr2.csv,results/param_optim_lr2.csv,0.6444,0.6027,0.674
8,0,2,50,25,64,128,2,0.2,0,0.1,0.1,0.1,0,0,0.0007,3.1,-0.01,lr2,results/lr2.output,results/auc_file_lr2.csv,results/test_auc_per_epoch_lr2.csv,results/param_optim_lr2.csv,0.6131,0.6232,0.6832
9,0,2,50,25,64,128,2,0.2,0,0.1,0.1,0.1,0,0,0.007,1.1,-1.0,lr2,results/lr2.output,results/auc_file_lr2.csv,results/test_auc_per_epoch_lr2.csv,results/param_optim_lr2.csv,0.7062,0.6203,0.7154
10,0,2,50,25,64,128,2,0.2,0,0.1,0.1,0.1,0,0,0.007,1.1,-0.1,lr2,results/lr2.output,results/auc_file_lr2.csv,results/test_auc_per_epoch_lr2.csv,results/param_optim_lr2.csv,0.641,0.6201,0.7043
11,0,2,50,25,64,128,2,0.2,0,0.1,0.1,0.1,0,0,0.007,1.1,-0.01,lr2,results/lr2.output,results/auc_file_lr2.csv,results/test_auc_per_epoch_lr2.csv,results/param_optim_lr2.csv,0.6907,0.6172,0.6748
12,0,2,50,25,64,128,2,0.2,0,0.1,0.1,0.1,0,0,0.007,2.1,-1.0,lr2,results/lr2.output,results/auc_file_lr2.csv,results/test_auc_per_epoch_lr2.csv,results/param_optim_lr2.csv,0.6057,0.5739,0.6012
13,0,2,50,25,64,128,2,0.2,0,0.1,0.1,0.1,0,0,0.007,2.1,-0.1,lr2,results/lr2.output,results/auc_file_lr2.csv,results/test_auc_per_epoch_lr2.csv,results/param_optim_lr2.csv,0.6741,0.6236,0.7016
14,0,2,50,25,64,128,2,0.2,0,0.1,0.1,0.1,0,0,0.007,2.1,-0.01,lr2,results/lr2.output,results/auc_file_lr2.csv,results/test_auc_per_epoch_lr2.csv,results/param_optim_lr2.csv,0.6761,0.6194,0.6572
15,0,2,50,25,64,128,2,0.2,0,0.1,0.1,0.1,0,0,0.007,3.1,-1.0,lr2,results/lr2.output,results/auc_file_lr2.csv,results/test_auc_per_epoch_lr2.csv,results/param_optim_lr2.csv,0.5585,0.5236,0.5189
16,0,2,50,25,64,128,2,0.2,0,0.1,0.1,0.1,0,0,0.007,3.1,-0.1,lr2,results/lr2.output,results/auc_file_lr2.csv,results/test_auc_per_epoch_lr2.csv,results/param_optim_lr2.csv,0.6527,0.5933,0.6576
17,0,2,50,25,64,128,2,0.2,0,0.1,0.1,0.1,0,0,0.007,3.1,-0.01,lr2,results/lr2.output,results/auc_file_lr2.csv,results/test_auc_per_epoch_lr2.csv,results/param_optim_lr2.csv,0.6872,0.6252,0.6757
18,0,2,50,25,64,128,2,0.2,0,0.1,0.1,0.1,0,0,0.07,1.1,-1.0,lr2,results/lr2.output,results/auc_file_lr2.csv,results/test_auc_per_epoch_lr2.csv,results/param_optim_lr2.csv,0.6935,0.6349,0.6951
