,target_col,fold,num_epochs,patience,batch_size,inner_atom_dim,conv_depth,sup_dropout_rate,use_ssl,unsup_dropout_rate,w,edge_dropout_rate,num_extra_data,rampup_length,lr_init,lr_base,lr_exp_multiplier,file_name,output_file,auc_file,auc_file_per_epoch,param_optim_file,train_auc,val_auc,test_auc
0,0,3,50,50,64,128,2,0.2,0,0.1,0.1,0.1,0,0,0.0007,2.718,-0.1,supervised3,results/supervised3.output,results/auc_file_supervised3.csv,results/test_auc_per_epoch_supervised3.csv,results/param_optim_supervised3.csv,0.6724,0.6043,0.6469
1,0,3,50,50,64,128,2,0.2,0,0.1,1000.0,0.1,0,0,0.0007,2.718,-0.1,supervised3,results/supervised3.output,results/auc_file_supervised3.csv,results/test_auc_per_epoch_supervised3.csv,results/param_optim_supervised3.csv,0.6388,0.6089,0.6673
2,0,3,50,50,64,128,3,0.2,0,0.1,0.1,0.1,0,0,0.0007,2.718,-0.1,supervised3,results/supervised3.output,results/auc_file_supervised3.csv,results/test_auc_per_epoch_supervised3.csv,results/param_optim_supervised3.csv,0.6254,0.6021,0.6767
3,0,3,50,50,64,128,3,0.2,0,0.1,1000.0,0.1,0,0,0.0007,2.718,-0.1,supervised3,results/supervised3.output,results/auc_file_supervised3.csv,results/test_auc_per_epoch_supervised3.csv,results/param_optim_supervised3.csv,0.6824,0.5914,0.6939
4,0,3,50,50,64,128,5,0.2,0,0.1,0.1,0.1,0,0,0.0007,2.718,-0.1,supervised3,results/supervised3.output,results/auc_file_supervised3.csv,results/test_auc_per_epoch_supervised3.csv,results/param_optim_supervised3.csv,0.6693,0.6214,0.685
5,0,3,50,50,64,128,5,0.2,0,0.1,1000.0,0.1,0,0,0.0007,2.718,-0.1,supervised3,results/supervised3.output,results/auc_file_supervised3.csv,results/test_auc_per_epoch_supervised3.csv,results/param_optim_supervised3.csv,0.6809,0.6002,0.686
6,0,3,50,50,64,256,2,0.2,0,0.1,0.1,0.1,0,0,0.0007,2.718,-0.1,supervised3,results/supervised3.output,results/auc_file_supervised3.csv,results/test_auc_per_epoch_supervised3.csv,results/param_optim_supervised3.csv,0.6469,0.6164,0.6592
7,0,3,50,50,64,256,2,0.2,0,0.1,1000.0,0.1,0,0,0.0007,2.718,-0.1,supervised3,results/supervised3.output,results/auc_file_supervised3.csv,results/test_auc_per_epoch_supervised3.csv,results/param_optim_supervised3.csv,0.6413,0.6033,0.657
8,0,3,50,50,64,256,3,0.2,0,0.1,0.1,0.1,0,0,0.0007,2.718,-0.1,supervised3,results/supervised3.output,results/auc_file_supervised3.csv,results/test_auc_per_epoch_supervised3.csv,results/param_optim_supervised3.csv,0.6843,0.6147,0.697
9,0,3,50,50,64,256,3,0.2,0,0.1,1000.0,0.1,0,0,0.0007,2.718,-0.1,supervised3,results/supervised3.output,results/auc_file_supervised3.csv,results/test_auc_per_epoch_supervised3.csv,results/param_optim_supervised3.csv,0.6475,0.6155,0.6791
10,0,3,50,50,64,256,5,0.2,0,0.1,0.1,0.1,0,0,0.0007,2.718,-0.1,supervised3,results/supervised3.output,results/auc_file_supervised3.csv,results/test_auc_per_epoch_supervised3.csv,results/param_optim_supervised3.csv,0.6825,0.617,0.6795
11,0,3,50,50,64,256,5,0.2,0,0.1,1000.0,0.1,0,0,0.0007,2.718,-0.1,supervised3,results/supervised3.output,results/auc_file_supervised3.csv,results/test_auc_per_epoch_supervised3.csv,results/param_optim_supervised3.csv,0.6525,0.6131,0.6744
12,0,3,50,50,64,512,2,0.2,0,0.1,0.1,0.1,0,0,0.0007,2.718,-0.1,supervised3,results/supervised3.output,results/auc_file_supervised3.csv,results/test_auc_per_epoch_supervised3.csv,results/param_optim_supervised3.csv,0.6111,0.619,0.6625
13,0,3,50,50,64,512,2,0.2,0,0.1,1000.0,0.1,0,0,0.0007,2.718,-0.1,supervised3,results/supervised3.output,results/auc_file_supervised3.csv,results/test_auc_per_epoch_supervised3.csv,results/param_optim_supervised3.csv,0.677,0.6063,0.6659
14,0,3,50,50,64,512,3,0.2,0,0.1,0.1,0.1,0,0,0.0007,2.718,-0.1,supervised3,results/supervised3.output,results/auc_file_supervised3.csv,results/test_auc_per_epoch_supervised3.csv,results/param_optim_supervised3.csv,0.6227,0.6101,0.6748
15,0,3,50,50,64,512,3,0.2,0,0.1,1000.0,0.1,0,0,0.0007,2.718,-0.1,supervised3,results/supervised3.output,results/auc_file_supervised3.csv,results/test_auc_per_epoch_supervised3.csv,results/param_optim_supervised3.csv,0.649,0.6051,0.6834
16,0,3,50,50,64,512,5,0.2,0,0.1,0.1,0.1,0,0,0.0007,2.718,-0.1,supervised3,results/supervised3.output,results/auc_file_supervised3.csv,results/test_auc_per_epoch_supervised3.csv,results/param_optim_supervised3.csv,0.7036,0.6219,0.7671
17,0,3,50,50,64,512,5,0.2,0,0.1,1000.0,0.1,0,0,0.0007,2.718,-0.1,supervised3,results/supervised3.output,results/auc_file_supervised3.csv,results/test_auc_per_epoch_supervised3.csv,results/param_optim_supervised3.csv,0.7301,0.6132,0.7402
