,Unnamed: 0,target_col,fold,task_name,num_epochs,patience,batch_size,inner_atom_dim,conv_depth,sup_dropout_rate,use_ssl,unsup_dropout_rate,w,edge_dropout_rate,num_extra_data,rampup_length,lr_init,lr_base,lr_exp_multiplier,file_name,output_file,auc_file,auc_file_per_epoch,param_optim_file,train_auc,val_auc,test_auc
9,9,0,4,lr-a4-4,100,30,64,128,2,0.2,0,0.1,0.1,0.1,0,0,0.0007,10.1,-0.01,lr-a4,results/lr-a4.output,results/auc_file_lr-a4.csv,results/test_auc_per_epoch_lr-a4.csv,results/param_optim_lr-a4.csv,0.6918,0.6316,0.6799
10,10,0,4,lr-a4-4,100,30,64,128,2,0.2,0,0.1,0.1,0.1,0,0,0.0007,100.1,-100.0,lr-a4,results/lr-a4.output,results/auc_file_lr-a4.csv,results/test_auc_per_epoch_lr-a4.csv,results/param_optim_lr-a4.csv,0.5539999999999999,0.5487,0.5698
11,11,0,4,lr-a4-4,100,30,64,128,2,0.2,0,0.1,0.1,0.1,0,0,0.0007,100.1,-10.0,lr-a4,results/lr-a4.output,results/auc_file_lr-a4.csv,results/test_auc_per_epoch_lr-a4.csv,results/param_optim_lr-a4.csv,0.5251,0.5361,0.5584
12,12,0,4,lr-a4-4,100,30,64,128,2,0.2,0,0.1,0.1,0.1,0,0,0.0007,100.1,-1.0,lr-a4,results/lr-a4.output,results/auc_file_lr-a4.csv,results/test_auc_per_epoch_lr-a4.csv,results/param_optim_lr-a4.csv,0.5328,0.5367,0.5505
13,13,0,4,lr-a4-4,100,30,64,128,2,0.2,0,0.1,0.1,0.1,0,0,0.0007,100.1,-0.1,lr-a4,results/lr-a4.output,results/auc_file_lr-a4.csv,results/test_auc_per_epoch_lr-a4.csv,results/param_optim_lr-a4.csv,0.6702,0.59,0.6613
14,14,0,4,lr-a4-4,100,30,64,128,2,0.2,0,0.1,0.1,0.1,0,0,0.0007,100.1,-0.01,lr-a4,results/lr-a4.output,results/auc_file_lr-a4.csv,results/test_auc_per_epoch_lr-a4.csv,results/param_optim_lr-a4.csv,0.6596,0.6056,0.6767
15,15,0,4,lr-a4-4,100,30,64,128,2,0.2,0,0.1,0.1,0.1,0,0,0.0007,1000.1,-100.0,lr-a4,results/lr-a4.output,results/auc_file_lr-a4.csv,results/test_auc_per_epoch_lr-a4.csv,results/param_optim_lr-a4.csv,0.5525,0.5253,0.555
16,16,0,4,lr-a4-4,100,30,64,128,2,0.2,0,0.1,0.1,0.1,0,0,0.0007,1000.1,-10.0,lr-a4,results/lr-a4.output,results/auc_file_lr-a4.csv,results/test_auc_per_epoch_lr-a4.csv,results/param_optim_lr-a4.csv,0.5415,0.5237,0.5039
17,17,0,4,lr-a4-4,100,30,64,128,2,0.2,0,0.1,0.1,0.1,0,0,0.0007,1000.1,-1.0,lr-a4,results/lr-a4.output,results/auc_file_lr-a4.csv,results/test_auc_per_epoch_lr-a4.csv,results/param_optim_lr-a4.csv,0.5755,0.536,0.5619
18,18,0,4,lr-a4-4,100,30,64,128,2,0.2,0,0.1,0.1,0.1,0,0,0.0007,1000.1,-0.1,lr-a4,results/lr-a4.output,results/auc_file_lr-a4.csv,results/test_auc_per_epoch_lr-a4.csv,results/param_optim_lr-a4.csv,0.6613,0.5919,0.6473
19,19,0,4,lr-a4-4,100,30,64,128,2,0.2,0,0.1,0.1,0.1,0,0,0.0007,1000.1,-0.01,lr-a4,results/lr-a4.output,results/auc_file_lr-a4.csv,results/test_auc_per_epoch_lr-a4.csv,results/param_optim_lr-a4.csv,0.6234,0.6069,0.6793
0,0,0,5,lr-a5-5,100,30,64,128,2,0.2,0,0.1,0.1,0.1,0,0,0.0007,1.1,-100.0,lr-a5,results/lr-a5.output,results/auc_file_lr-a5.csv,results/test_auc_per_epoch_lr-a5.csv,results/param_optim_lr-a5.csv,0.4674,0.5183,0.4609
1,1,0,5,lr-a5-5,100,30,64,128,2,0.2,0,0.1,0.1,0.1,0,0,0.0007,1.1,-10.0,lr-a5,results/lr-a5.output,results/auc_file_lr-a5.csv,results/test_auc_per_epoch_lr-a5.csv,results/param_optim_lr-a5.csv,0.5857,0.5416,0.5964
2,2,0,5,lr-a5-5,100,30,64,128,2,0.2,0,0.1,0.1,0.1,0,0,0.0007,1.1,-1.0,lr-a5,results/lr-a5.output,results/auc_file_lr-a5.csv,results/test_auc_per_epoch_lr-a5.csv,results/param_optim_lr-a5.csv,0.6689,0.6501,0.6964
3,3,0,5,lr-a5-5,100,30,64,128,2,0.2,0,0.1,0.1,0.1,0,0,0.0007,1.1,-0.1,lr-a5,results/lr-a5.output,results/auc_file_lr-a5.csv,results/test_auc_per_epoch_lr-a5.csv,results/param_optim_lr-a5.csv,0.6792,0.6573,0.6943
4,4,0,5,lr-a5-5,100,30,64,128,2,0.2,0,0.1,0.1,0.1,0,0,0.0007,1.1,-0.01,lr-a5,results/lr-a5.output,results/auc_file_lr-a5.csv,results/test_auc_per_epoch_lr-a5.csv,results/param_optim_lr-a5.csv,0.6931,0.6619,0.7036
5,5,0,5,lr-a5-5,100,30,64,128,2,0.2,0,0.1,0.1,0.1,0,0,0.0007,10.1,-100.0,lr-a5,results/lr-a5.output,results/auc_file_lr-a5.csv,results/test_auc_per_epoch_lr-a5.csv,results/param_optim_lr-a5.csv,0.5848,0.4995,0.5521
6,6,0,5,lr-a5-5,100,30,64,128,2,0.2,0,0.1,0.1,0.1,0,0,0.0007,10.1,-10.0,lr-a5,results/lr-a5.output,results/auc_file_lr-a5.csv,results/test_auc_per_epoch_lr-a5.csv,results/param_optim_lr-a5.csv,0.5693,0.5326,0.585
7,7,0,5,lr-a5-5,100,30,64,128,2,0.2,0,0.1,0.1,0.1,0,0,0.0007,10.1,-1.0,lr-a5,results/lr-a5.output,results/auc_file_lr-a5.csv,results/test_auc_per_epoch_lr-a5.csv,results/param_optim_lr-a5.csv,0.5388,0.633,0.513
